str_ui_videoroom_playercard_name,昵称
str_ui_videoroom_playercard_localarea,所在大区：
str_ui_videoroom_playercard_wealth,财富值
str_ui_videoroom_playercard_wealth_favorAnchor,支持的主播：
str_ui_videoroom_playercard_anchorname,主播名
str_ui_videoroom_playercard_affinity,亲密度
str_ui_videoroom_playercard_sum_affinity,总亲密度
str_ui_videoroom_playercard_sex,性别
str_ui_videoroom_searchroom_tip,请输入要进入的房间ID
str_ui_videoroom_searchroom_ID,房间ID
str_ui_videoroom_searchroom_tip_font,$tktv_font_setting_announcement_input_gray$  输入房间ID$z
str_ui_videoroom_playercard_lookforanchor,查看主播名片
str_ui_videoroom_programlist_starttime,开播时间：
str_ui_videoroom_rank_ranktxt,名次
str_ui_videoroom_rank_starlight,星耀值
str_ui_videoroom_rank_playername,玩家名
str_ui_videoroom_rank_popular,人气值
str_ui_hallplayerlistanchorstatetitle,状态
str_ui_anchorlist_enterroomtip,该主播正在直播，双击本条可以进入主播房间观看直播
str_ui_videoroom_playerlist_anchortip,主播：
str_ui_videoroom_playerlist_administratortip,管理员：
str_ui_videoroom_playerlist_playerpurpleleveltip,紫钻{lel}级：
str_ui_videoroomlist_minute,分钟
str_ui_videoroomlist_weikaibo,未开播
str_ui_videoroom_playerlist_chat,私聊
str_ui_videoroom_playerlist_copy,复制昵称
str_ui_videoroom_playerlist_cancelpingbi,取消屏蔽
str_ui_videoroom_playerlist_pingbi,屏蔽
str_ui_videoroom_playerlist_divorce,解除家族关系
str_ui_videoroom_playerlist_invate,邀请
str_ui_videoroom_roomlist_inputid,请输入正确的房间ID
str_ui_videoroom_roomlist_sure,确定
str_ui_videoroom_roomlist_cancel,取消
str_ui_videoroom_playerlist_NFpurpleTip,年费紫钻{lel}级：
str_ui_videoroom_roomlist_norespond,您的操作太频繁了
str_font_videoroom_roomlist_idsearch,font_video_room_idsearch
str_ui_videoroom_playerlist_searchTip,搜索昵称
str_ui_videoroom_playerlist_searchclearTip,清除本次搜索
str_ui_videoroom_anchorCard_affinitytip,显示最近7天内的亲密度
str_ui_videoroom_playerlist_yellowjacket,白翼天使
str_ui_videoroom_playerlist_bluejacket,实习天使
str_ui_videoroom_chat_assignbluejacket,{name}被赋予了实习天使
str_ui_videoroom_chat_assignyellowjacket,{name}被赋予了白翼天使
str_ui_videoroom_chat_Retrievebluejacket,{name}的实习天使被收回
str_ui_videoroom_chat_Retrieveyellowjacket,{name}的白翼天使被收回
str_ui_videoroom_fansDefend_name10,初级守护
str_ui_videoroom_fansDefend_name50,高级守护
str_ui_videoroom_fansDefend_name3nouse,爱心守护
str_ui_videoroom_fansDefend_name100,天使守护
str_ui_videoroom_fansDefend_name5nouse,六翼天使守护
str_ui_videoroom_fansDefend_name20,中级守护
str_ui_videoroom_fansDefend_name200,灵魂守护
str_ui_videoroom_fansDefend_name300,至尊守护
video_gift_csv_b,begin
str_live_gift_name_1,鲜花
str_live_gift_name_2,蓝玫瑰
str_live_gift_name_3,糖果
str_live_gift_name_4,花篮
str_live_gift_name_5,烟花
str_live_gift_name_6,鞭炮
str_live_gift_name_7,财神
str_live_gift_detail_1,送给主播增加1点人气，免费的哦，10分钟累积一朵，最多能累积20朵。
str_live_gift_detail_2,妖冶的蓝玫瑰，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_detail_3,甜蜜的糖果，送给主播增加9点星耀，你获得9点财富，并提升你们之间的亲密度9点。
str_live_gift_detail_4,艳丽的花篮，送给主播增加199点星耀，你获得199点财富，并提升你们之间的亲密度199点。
str_live_gift_detail_5,绚烂的烟花，送给主播增加499点星耀，你获得499点财富，并提升你们之间的亲密度499点。
str_live_gift_detail_6,华丽的鞭炮，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_detail_7,神秘的财神，送给主播增加499点星耀，你获得499点财富，并提升你们之间的亲密度499点。
str_live_gift_name_8,心形巧克力
str_live_gift_name_9,丘比特之箭
str_live_gift_detail_8,象征爱情的甜蜜礼物，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_detail_9,丘比特爱的誓言，送给主播增加499点星耀，你获得499点财富，并提升你们之间的亲密度499点。
str_live_gift_name_10,愚人乐
str_live_gift_name_11,甜心kitty
str_live_gift_detail_10,愚人节的主题礼物，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_detail_11,甜甜的kitty，高级或以上级别的守护才可以使用，送给主播增加1点星耀，你获得1点财富，并提升你们之间的亲密度1点。
str_live_gift_name_12,My Love
str_live_gift_name_99,团馨
str_live_gift_detail_12,飞吧我的爱，送给主播增加9点星耀，你获得9点财富，并提升你们之间的亲密度9点。
str_live_gift_detail_99,活动专属礼物，支持你喜爱的舞团代表，为Ta投上一票~ 不会增加星耀、你的财富值以及你们之间的亲密度
